"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PropagationMode.java","26","1","26","26","26","26","26","26","26","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PropagationOperation.java","26","1","26","26","26","26","26","26","26","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/PropagationTaskExecStatus.java","42","1","42","42","42","42","42","42","42","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ReportExecExportFormat.java","28","1","28","28","28","28","28","28","28","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/ReportExecStatus.java","28","1","28","28","28","28","28","28","28","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SchemaType.java","43","1","43","43","43","43","43","43","43","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncPolicySpec.java","62","1","62","62","62","62","62","62","62","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncopeClientExceptionType.java","99","1","99","99","99","99","99","99","99","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncopeLoggerLevel.java","65","1","65","65","65","65","65","65","65","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/SyncopeLoggerType.java","35","1","35","35","35","35","35","35","35","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/TraceLevel.java","40","1","40","40","40","40","40","40","40","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/UserRequestType.java","27","1","27","27","27","27","27","27","27","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/WorkflowFormPropertyType.java","29","1","29","29","29","29","29","29","29","1","false"
"1.0.0-incubating","client/src/main/java/org/apache/syncope/types/package-info.java","19","1","19","19","19","19","19","19","19","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/SyncopeApplication.java","174","3","208","188","175","175","178","175","59","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/SyncopeRequestCycleListener.java","83","1","83","83","83","83","83","83","83","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/SyncopeSession.java","112","3","114","112","96","96","112","96","37","3","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/Constants.java","94","2","98","96","96","96","98","96","49","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/DateFormatROModel.java","50","1","50","50","50","50","50","50","50","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/HttpResourceStream.java","165","3","183","170","150","150","165","150","55","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/MapChoiceRenderer.java","43","1","43","43","43","43","43","43","43","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/PreferenceManager.java","180","3","314","235","200","200","252","200","84","2","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/RoleTreeBuilder.java","111","1","111","111","111","111","111","111","111","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SchemaModalPageFactory.java","66","1","66","66","66","66","66","66","66","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SearchCondWrapper.java","113","1","113","113","113","113","113","113","113","1","false"
"1.0.0-incubating","console/src/main/java/org/apache/syncope/console/commons/SelectChoiceRenderer.java","40","1","40","40","40","40","40","40","40","1","false"
