"Dataset","#trainingReleases","%training","%defectiveTraining","%defectiveTesting","classifier","balancing","featureSelection","sensitivity","TP","FP","TN","FN","precision","recall","AUC","kappa"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","No sampling","No selection","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","No sampling","No selection","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Undersampling","Best First","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Undersampling","Best First","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Undersampling","Best First","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Undersampling","No selection","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Undersampling","No selection","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Undersampling","No selection","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Oversampling","Best First","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Oversampling","Best First","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Oversampling","Best First","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Oversampling","No selection","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Oversampling","No selection","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","Naive Bayes","Oversampling","No selection","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","No sampling","Best First","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","No sampling","Best First","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","No sampling","Best First","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","No sampling","No selection","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","No sampling","No selection","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","No sampling","No selection","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","Undersampling","Best First","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","Undersampling","Best First","Sensitive learning","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","Undersampling","Best First","No cost sensitive","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
"SYNCOPE","2","66.53","0.0","0.0","IBk","Undersampling","No selection","Sensitive threshold","1.0","0.0","0.0","0.0","1.0","1.0","0.0","1.0"
