"CSVFile.Version","File","Size","Commit number","Loc touched","Loc added","Max loc added","Avg loc added","Churn","Max churn","Avg churn","Authors numbers","buggy"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java","704","3","742","704","703","703","704","703","234","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java","63","2","67","63","63","63","63","63","31","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java","37","1","37","37","37","37","37","37","37","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java","64","2","65","64","64","64","64","64","32","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java","124","2","127","124","124","124","124","124","62","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java","160","4","167","160","159","159","160","159","40","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java","36","2","41","36","36","36","36","36","18","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java","58","2","60","58","57","57","58","57","29","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java","62","1","62","62","62","62","62","62","62","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java","130","4","142","130","129","129","130","129","32","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java","74","2","76","74","73","73","74","73","37","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java","83","3","86","83","82","82","83","82","27","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java","74","1","74","74","74","74","74","74","74","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java","48","2","50","48","48","48","48","48","24","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java","60","2","61","60","60","60","60","60","30","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java","70","3","76","70","70","70","70","70","23","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java","183","4","202","183","180","180","183","180","45","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java","53","1","53","53","53","53","53","53","53","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java","452","4","472","452","450","450","452","450","113","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java","39","1","39","39","39","39","39","39","39","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java","78","2","82","78","78","78","78","78","39","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java","64","2","65","64","64","64","64","64","32","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java","31","2","32","31","31","31","31","31","15","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java","57","2","61","57","57","57","57","57","28","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java","104","2","111","104","104","104","104","104","52","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java","32","1","32","32","32","32","32","32","32","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java","227","3","291","239","226","226","227","226","75","2","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java","197","4","208","197","187","187","197","187","49","3","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java","75","2","81","75","75","75","75","75","37","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java","28","1","28","28","28","28","28","28","28","1","false"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java","52","2","54","52","52","52","52","52","26","2","true"
"4.0.0","hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java","429","3","537","460","428","428","429","428","143","2","true"
